paper_id,condition,counterfactual_type,group,free_ok,structured_ok,free_chars,rating_1_10,confidence_1_5,n_strengths,n_weaknesses,n_soundness_issues,error_free,error_structured,free_extracted_rating,free_n_soundness_issues,judge_error
2023.acl%2023.acl-long.323,Original,none,Baseline,True,True,12396,7,4,7,8,6,,,6.0,8.0,
2023.acl%2023.acl-long.323,active_passive,active_passive,Format-Perturbed,True,True,14109,7,4,6,6,5,,,6.0,4.0,
2023.acl%2023.acl-long.323,british_american,british_american,Format-Perturbed,True,True,15282,7,4,6,6,5,,,5.0,6.0,
2023.acl%2023.acl-long.323,language_error,language_error,Format-Perturbed,True,True,13908,7,4,7,7,5,,,3.0,6.0,
2023.acl%2023.acl-long.323,paper_layout,paper_layout,Format-Perturbed,True,True,15713,7,4,6,6,5,,,5.0,6.0,
2023.acl%2023.acl-long.323,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,14496,7,4,6,6,5,,,4.0,6.0,
2023.acl%2023.acl-long.323,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12979,8,4,7,7,5,,,5.0,6.0,
2023.acl%2023.acl-long.323,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14495,7,4,7,7,5,,,6.0,4.0,
2023.acl%2023.acl-long.683,Original,none,Baseline,True,True,13523,8,4,8,8,6,,,6.0,7.0,
2023.acl%2023.acl-long.683,active_passive,active_passive,Format-Perturbed,True,True,12376,8,4,8,8,6,,,5.0,6.0,
2023.acl%2023.acl-long.683,british_american,british_american,Format-Perturbed,True,True,13931,7,4,9,8,6,,,6.0,6.0,
2023.acl%2023.acl-long.683,language_error,language_error,Format-Perturbed,True,True,14427,8,4,7,7,5,,,6.0,11.0,
2023.acl%2023.acl-long.683,paper_layout,paper_layout,Format-Perturbed,True,True,14162,8,4,9,8,7,,,6.0,12.0,
2023.acl%2023.acl-long.683,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12519,8,4,7,7,6,,,6.0,6.0,
2023.acl%2023.acl-long.683,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12915,7,4,9,8,6,,,6.0,8.0,
2023.acl%2023.acl-long.683,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14770,8,4,8,8,6,,,7.0,6.0,
2023.acl%2023.acl-long.812,Original,none,Baseline,True,True,11980,8,4,7,7,5,,,3.0,6.0,
2023.acl%2023.acl-long.812,active_passive,active_passive,Format-Perturbed,True,True,12675,7,3,6,8,6,,,4.0,12.0,
2023.acl%2023.acl-long.812,british_american,british_american,Format-Perturbed,True,True,10885,8,4,8,8,6,,,3.0,12.0,
2023.acl%2023.acl-long.812,language_error,language_error,Format-Perturbed,True,True,12567,8,4,7,7,6,,,3.0,14.0,
2023.acl%2023.acl-long.812,paper_layout,paper_layout,Format-Perturbed,True,True,11365,8,4,8,8,6,,,4.0,7.0,
2023.acl%2023.acl-long.812,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12914,8,4,6,6,6,,,3.0,6.0,
2023.acl%2023.acl-long.812,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12977,8,4,7,7,5,,,4.0,7.0,
2023.acl%2023.acl-long.812,blueprint_result,blueprint_result,Logic-Perturbed,True,True,12285,8,4,8,7,5,,,3.0,6.0,
2023.acl%2023.acl-long.818,Original,none,Baseline,True,True,12362,8,4,8,8,6,,,7.0,8.0,
2023.acl%2023.acl-long.818,active_passive,active_passive,Format-Perturbed,True,True,11824,8,4,8,8,7,,,6.0,6.0,
2023.acl%2023.acl-long.818,british_american,british_american,Format-Perturbed,True,True,12413,8,4,8,8,5,,,6.0,7.0,
2023.acl%2023.acl-long.818,language_error,language_error,Format-Perturbed,True,True,12550,8,4,8,8,6,,,6.0,7.0,
2023.acl%2023.acl-long.818,paper_layout,paper_layout,Format-Perturbed,True,True,14826,8,4,7,7,6,,,6.0,7.0,
2023.acl%2023.acl-long.818,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,12283,8,4,7,7,5,,,6.0,7.0,
2023.acl%2023.acl-long.818,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,12856,8,4,9,8,6,,,6.0,8.0,
2023.acl%2023.acl-long.818,blueprint_result,blueprint_result,Logic-Perturbed,True,True,14823,7,4,7,7,5,,,6.0,8.0,
2023.acl%2023.acl-long.819,Original,none,Baseline,True,True,11796,7,4,6,7,5,,,4.0,11.0,
2023.acl%2023.acl-long.819,active_passive,active_passive,Format-Perturbed,True,True,10879,7,4,6,7,5,,,4.0,6.0,
2023.acl%2023.acl-long.819,british_american,british_american,Format-Perturbed,True,True,12533,7,4,6,6,6,,,4.0,5.0,
2023.acl%2023.acl-long.819,language_error,language_error,Format-Perturbed,True,True,13393,6,4,5,6,6,,,3.0,5.0,
2023.acl%2023.acl-long.819,paper_layout,paper_layout,Format-Perturbed,True,True,12587,7,4,6,6,5,,,4.0,5.0,
2023.acl%2023.acl-long.819,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,13459,7,4,6,8,6,,,4.0,4.0,
