paper_id,condition,judge_rating,judge_n_strengths,judge_n_weaknesses,judge_n_methodological_flaws,judge_error
2023.acl%2023.acl-long.323,active_passive,3,6,11,8,
2023.acl%2023.acl-long.323,blueprint_conclusion,4,6,11,9,
2023.acl%2023.acl-long.323,blueprint_finding,3,6,6,7,
2023.acl%2023.acl-long.323,blueprint_result,5,6,7,7,
2023.acl%2023.acl-long.323,british_american,4,7,7,7,
2023.acl%2023.acl-long.323,language_error,3,6,7,8,
2023.acl%2023.acl-long.323,Original,4,6,7,7,
2023.acl%2023.acl-long.323,paper_layout,7,6,7,7,
2023.acl%2023.acl-long.683,active_passive,4,6,12,11,
2023.acl%2023.acl-long.683,blueprint_conclusion,4,7,7,6,
2023.acl%2023.acl-long.683,blueprint_finding,3,7,7,5,
2023.acl%2023.acl-long.683,blueprint_result,4,7,8,7,
2023.acl%2023.acl-long.683,british_american,4,6,6,7,
2023.acl%2023.acl-long.683,language_error,5,7,13,9,
2023.acl%2023.acl-long.683,Original,3,7,12,10,
2023.acl%2023.acl-long.683,paper_layout,4,7,8,4,
2023.acl%2023.acl-long.812,active_passive,4,6,7,9,
2023.acl%2023.acl-long.812,blueprint_conclusion,3,5,6,10,
2023.acl%2023.acl-long.812,blueprint_finding,3,6,6,10,
2023.acl%2023.acl-long.812,blueprint_result,4,5,14,13,
2023.acl%2023.acl-long.812,british_american,4,6,7,10,
2023.acl%2023.acl-long.812,language_error,4,6,7,10,
2023.acl%2023.acl-long.812,Original,3,6,8,9,
2023.acl%2023.acl-long.812,paper_layout,3,5,6,8,
2023.acl%2023.acl-long.818,active_passive,4,6,10,9,
2023.acl%2023.acl-long.818,blueprint_conclusion,4,8,8,6,
2023.acl%2023.acl-long.818,blueprint_finding,3,7,7,8,
2023.acl%2023.acl-long.818,blueprint_result,5,7,14,14,
2023.acl%2023.acl-long.818,british_american,3,7,7,8,
2023.acl%2023.acl-long.818,language_error,4,7,8,8,
2023.acl%2023.acl-long.818,Original,3,6,7,8,
2023.acl%2023.acl-long.818,paper_layout,4,6,8,8,
2023.acl%2023.acl-long.819,active_passive,4,5,13,11,
2023.acl%2023.acl-long.819,blueprint_conclusion,3,5,6,7,
2023.acl%2023.acl-long.819,blueprint_finding,3,5,6,7,
2023.acl%2023.acl-long.819,blueprint_result,3,5,12,11,
2023.acl%2023.acl-long.819,british_american,4,5,12,9,
2023.acl%2023.acl-long.819,language_error,4,5,11,10,
2023.acl%2023.acl-long.819,Original,6,5,7,9,
2023.acl%2023.acl-long.819,paper_layout,4,5,13,9,
2024.acl%2024.acl-long.311,active_passive,3,5,8,9,
2024.acl%2024.acl-long.311,blueprint_conclusion,4,5,8,11,
2024.acl%2024.acl-long.311,blueprint_finding,5,6,12,11,
2024.acl%2024.acl-long.311,blueprint_result,4,5,10,10,
2024.acl%2024.acl-long.311,british_american,4,6,12,12,
2024.acl%2024.acl-long.311,language_error,4,6,10,8,
2024.acl%2024.acl-long.311,Original,4,6,14,13,
2024.acl%2024.acl-long.311,paper_layout,3,6,8,10,
2024.acl%2024.acl-long.320,active_passive,5,5,7,6,
2024.acl%2024.acl-long.320,blueprint_conclusion,4,6,8,8,
2024.acl%2024.acl-long.320,blueprint_finding,6,6,7,7,
2024.acl%2024.acl-long.320,blueprint_result,5,6,8,7,
2024.acl%2024.acl-long.320,british_american,5,6,7,8,
2024.acl%2024.acl-long.320,language_error,5,5,6,6,
2024.acl%2024.acl-long.320,Original,4,5,7,8,
2024.acl%2024.acl-long.320,paper_layout,5,6,13,7,
2024.acl%2024.acl-long.375,active_passive,3,6,13,11,
2024.acl%2024.acl-long.375,blueprint_conclusion,3,7,8,10,
2024.acl%2024.acl-long.375,blueprint_finding,2,6,10,10,
2024.acl%2024.acl-long.375,blueprint_result,4,6,8,10,
2024.acl%2024.acl-long.375,british_american,4,7,8,8,
2024.acl%2024.acl-long.375,language_error,3,6,11,11,
2024.acl%2024.acl-long.375,Original,4,6,10,8,
2024.acl%2024.acl-long.375,paper_layout,3,6,7,9,
2024.acl%2024.acl-long.393,active_passive,5,5,8,8,
2024.acl%2024.acl-long.393,blueprint_conclusion,4,5,12,10,
2024.acl%2024.acl-long.393,blueprint_finding,3,5,8,7,
2024.acl%2024.acl-long.393,blueprint_result,4,5,9,8,
2024.acl%2024.acl-long.393,british_american,4,5,11,8,
2024.acl%2024.acl-long.393,language_error,4,5,11,10,
2024.acl%2024.acl-long.393,Original,3,5,8,7,
