paper_id,condition,counterfactual_type,group,free_ok,structured_ok,free_words,structured_words,free_latency_sec,structured_latency_sec,rating_1_10,confidence_1_5,n_strengths,n_weaknesses,n_methodological_flaws,error_free,error_structured
2023.acl%2023.acl-long.323,Original,none,Baseline,True,True,1557,689,23.833481073379517,11.709872007369995,7,4,6,7,7,,
2023.acl%2023.acl-long.323,active_passive,active_passive,Format-Perturbed,True,True,1959,675,31.657708168029785,11.022352695465088,6,4,6,8,7,,
2023.acl%2023.acl-long.323,british_american,british_american,Format-Perturbed,True,True,1812,621,28.09027600288391,10.067065954208374,7,4,7,7,7,,
2023.acl%2023.acl-long.323,language_error,language_error,Format-Perturbed,True,True,1787,617,26.248462677001953,10.071362018585205,6,4,6,7,8,,
2023.acl%2023.acl-long.323,paper_layout,paper_layout,Format-Perturbed,True,True,1760,597,27.50608539581299,10.47782301902771,6,4,6,7,7,,
2023.acl%2023.acl-long.323,blueprint_conclusion,blueprint_conclusion,Logic-Perturbed,True,True,1998,561,32.61571788787842,9.11452579498291,6,4,6,7,7,,
2023.acl%2023.acl-long.323,blueprint_finding,blueprint_finding,Logic-Perturbed,True,True,1750,580,26.064779043197632,10.17151951789856,6,4,6,6,7,,
2023.acl%2023.acl-long.323,blueprint_result,blueprint_result,Logic-Perturbed,True,True,1815,642,27.83388328552246,10.649429321289062,6,4,6,7,7,,
2023.acl%2023.acl-long.683,Original,none,Baseline,True,True,2003,832,29.318599224090576,13.780707597732544,6,4,7,8,7,,
2023.acl%2023.acl-long.683,active_passive,active_passive,Format-Perturbed,True,True,1930,793,27.542019367218018,12.625835657119751,6,4,6,6,8,,
2023.acl%2023.acl-long.683,british_american,british_american,Format-Perturbed,True,True,1851,832,28.433333158493042,13.913903713226318,6,4,6,6,7,,
2023.acl%2023.acl-long.683,language_error,language_error,Format-Perturbed,True,True,2071,823,31.451308250427246,13.266502141952515,6,4,7,8,8,,
2023.acl%2023.acl-long.683,paper_layout,paper_layout,Format-Perturbed,True,True,1611,940,23.305912971496582,14.741065979003906,6,4,7,8,7,,
